variant,model_variant,tokens,batch,parameters,scope,delta_scan_backend,p50_ms,p95_ms,mean_ms,min_ms,max_ms,tokens_per_second_p50
GDN,GDN,1024,8,1414048,full GPT cached prefill,FLA chunkwise,14.50598430633545,14.607603263854982,14.510217121669225,14.374591827392578,14.612480163574219,564732.4460720784
GDN,GDN,4096,8,1414048,full GPT cached prefill,FLA chunkwise,56.043521881103516,56.41535606384278,56.020237513950896,55.72195053100586,56.49433517456055,584688.4510491221
KDA,KDA,64,8,1412496,full GPT cached prefill,FLA chunkwise,11.657088279724121,15.072611427307125,12.380251475742885,11.530240058898926,16.22368049621582,43921.77426420906
KDA,KDA,256,8,1412496,full GPT cached prefill,FLA chunkwise,11.77344036102295,12.014927768707274,11.765805789402553,11.540575981140137,12.061727523803711,173950.85354830447
KDA,KDA,1024,8,1412496,full GPT cached prefill,FLA chunkwise,12.779295921325684,12.96896343231201,12.735245840890068,12.387552261352539,13.032928466796875,641036.8810952605
KDA,KDA,4096,8,1412496,full GPT cached prefill,FLA chunkwise,49.60255813598633,50.12014312744141,49.51315580095564,48.80815887451172,50.293663024902344,660611.0900604344
GDN + gated MHA,GDN_HYBRID,64,8,1411352,full GPT cached prefill,FLA chunkwise,7.778207778930664,7.995728302001953,7.823053768702915,7.702176094055176,8.049728393554688,65824.93224041759
GDN + gated MHA,GDN_HYBRID,256,8,1411352,full GPT cached prefill,FLA chunkwise,7.984384059906006,8.267075157165527,8.027510847364153,7.793087959289551,8.312416076660156,256500.68742110452
GDN + gated MHA,GDN_HYBRID,1024,8,1411352,full GPT cached prefill,FLA chunkwise,12.550592422485352,12.621686267852784,12.56256457737514,12.508255958557129,12.631487846374512,652718.192435554
GDN + gated MHA,GDN_HYBRID,4096,8,1411352,full GPT cached prefill,FLA chunkwise,48.548641204833984,48.77696304321289,48.57590866088867,48.41471862792969,48.82863998413086,674951.9489484145
KDA + MLA,KDA_HYBRID,64,8,1373388,full GPT cached prefill,FLA chunkwise,15.817855834960938,17.615801048278808,15.576973506382533,12.8755521774292,18.18396759033203,32368.483146013223
KDA + MLA,KDA_HYBRID,256,8,1373388,full GPT cached prefill,FLA chunkwise,14.720959663391113,15.504674911499023,14.86870847429548,14.401535987854004,15.630751609802246,139121.36483147077
KDA + MLA,KDA_HYBRID,1024,8,1373388,full GPT cached prefill,FLA chunkwise,16.98758316040039,17.1032772064209,16.838208062308176,16.307424545288086,17.139680862426758,482234.5782004059
KDA + MLA,KDA_HYBRID,4096,8,1373388,full GPT cached prefill,FLA chunkwise,43.78044891357422,44.187818145751955,43.81584875924246,43.37839889526367,44.23177719116211,748461.9462145399
K3: KDA + gated MLA,KDA_GATED_MLA_HYBRID,64,8,1389772,full GPT cached prefill,FLA chunkwise,9.232704162597656,9.491014575958252,9.287145205906459,9.183232307434082,9.54684829711914,55455.042312971374
K3: KDA + gated MLA,KDA_GATED_MLA_HYBRID,256,8,1389772,full GPT cached prefill,FLA chunkwise,9.381471633911133,9.688268852233886,9.380621773856026,9.218751907348633,9.81606388092041,218302.63735991166
K3: KDA + gated MLA,KDA_GATED_MLA_HYBRID,1024,8,1389772,full GPT cached prefill,FLA chunkwise,11.168767929077148,13.032319927215573,11.54229041508266,11.075584411621094,13.786687850952148,733473.9204915047
K3: KDA + gated MLA,KDA_GATED_MLA_HYBRID,4096,8,1389772,full GPT cached prefill,FLA chunkwise,44.36608123779297,44.585942077636716,44.31130599975586,43.722625732421875,44.6214714050293,738582.2476492872
