variant,model_variant,tokens,batch,parameters,scope,delta_scan_backend,p50_ms,p95_ms,mean_ms,min_ms,max_ms,tokens_per_second_p50
MHA,MHA,64,16,1337728,full GPT forward + loss + backward + AdamW,not applicable (SDPA/MLA only),7.419936180114746,13.03334741592407,9.120219503130231,6.945824146270752,13.938752174377441,138006.57783880888
GQA,GQA,64,16,1272192,full GPT forward + loss + backward + AdamW,not applicable (SDPA/MLA only),14.671135902404785,17.34157066345215,15.052818162100655,13.350912094116211,17.61903953552246,69796.9132596034
MQA,MQA,64,16,1239424,full GPT forward + loss + backward + AdamW,not applicable (SDPA/MLA only),10.24614429473877,10.652713680267333,10.283675466264997,10.046175956726074,10.80179214477539,99940.0331035556
MLA-style,MLA,64,16,1256064,full GPT forward + loss + backward + AdamW,not applicable (SDPA/MLA only),7.895359992980957,8.356454133987427,7.933279991149902,7.692480087280273,8.521727561950684,129696.4294104822
GDN,GDN,64,16,1414048,full GPT forward + loss + backward + AdamW,FLA chunkwise,31.080991744995117,35.91239795684814,31.861294065202987,30.179935455322266,37.87456130981445,32946.18165345035
KDA,KDA,64,16,1412496,full GPT forward + loss + backward + AdamW,FLA chunkwise,48.067710876464844,58.49964942932129,50.41949735369001,44.30851364135742,58.639041900634766,21303.282002167824
GDN + gated MHA,GDN_HYBRID,64,16,1411352,full GPT forward + loss + backward + AdamW,FLA chunkwise,25.868608474731445,29.879334068298338,26.839012690952845,25.548831939697266,31.053279876708984,39584.6572497414
KDA + MLA,KDA_HYBRID,64,16,1373388,full GPT forward + loss + backward + AdamW,FLA chunkwise,38.316993713378906,42.63140525817871,38.98234122140067,36.670753479003906,42.86057662963867,26724.434794122597
K3: KDA + gated MLA,KDA_GATED_MLA_HYBRID,64,16,1389772,full GPT forward + loss + backward + AdamW,FLA chunkwise,29.113311767578125,39.076562499999994,31.224114281790598,27.926591873168945,42.00339126586914,35172.91362023512
