operator,tokens,batch,p50_ms,p95_ms,tokens_per_second_p50
MHA SDPA,64,8,0.781398,0.814249,655235.8721163862
GDN reference,64,8,80.770316,95.587049,6338.962447540753
GDN chunkwise,64,8,3.682105,3.769452,139050.8961585832
KDA reference,64,8,77.432625,83.728158,6612.199960933779
KDA chunkwise,64,8,3.670538,3.834178,139489.0885205384
